,activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
0,False,,,False,False,False,False,False,False,False,False,False,False,0Pp,AI Application,AI Applications,False,False,False,AIApplication,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIApplication/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIApplication/describe'), ('sobject', '/services/data/v57.0/sobjects/AIApplication')])"
1,False,,,False,False,False,False,False,False,False,False,False,False,6S9,AI Application config,AI Application configs,False,False,False,AIApplicationConfig,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIApplicationConfig/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIApplicationConfig/describe'), ('sobject', '/services/data/v57.0/sobjects/AIApplicationConfig')])"
2,False,,,False,False,False,False,False,False,False,False,False,False,9qd,AI Insight Action,AI Insight Actions,False,False,False,AIInsightAction,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightAction/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightAction/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightAction')])"
3,False,,,False,False,False,False,False,False,False,False,False,False,9bq,AI Insight Feedback,AI Insight Feedbacks,False,False,False,AIInsightFeedback,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightFeedback/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightFeedback/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightFeedback')])"
4,False,,,False,False,False,False,False,False,False,False,False,False,0T2,AI Insight Reason,AI Insight Reasons,False,False,False,AIInsightReason,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightReason/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightReason/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightReason')])"
5,False,,,False,False,False,False,False,False,False,False,False,False,9qc,AI Insight Value,AI Insight Values,False,False,False,AIInsightValue,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIInsightValue/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIInsightValue/describe'), ('sobject', '/services/data/v57.0/sobjects/AIInsightValue')])"
6,False,,,False,False,False,False,False,False,False,False,False,False,0ae,AI Prediction Event,AI Prediction Events,False,False,False,AIPredictionEvent,False,False,False,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIPredictionEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AIPredictionEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AIPredictionEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AIPredictionEvent')])"
7,False,,,False,False,False,False,True,False,False,False,False,False,9qb,AI Record Insight,AI Record Insights,False,False,False,AIRecordInsight,True,True,True,False,True,True,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AIRecordInsight/{ID}'), ('describe', '/services/data/v57.0/sobjects/AIRecordInsight/describe'), ('sobject', '/services/data/v57.0/sobjects/AIRecordInsight')])"
8,False,,,False,False,False,False,False,False,False,False,False,False,,Accepted Event Relation,Accepted Event Relations,False,False,False,AcceptedEventRelation,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AcceptedEventRelation/{ID}'), ('describe', '/services/data/v57.0/sobjects/AcceptedEventRelation/describe'), ('sobject', '/services/data/v57.0/sobjects/AcceptedEventRelation')])"
9,False,,,True,False,False,False,True,False,True,False,False,False,001,Account,Accounts,True,True,True,Account,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Account/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Account/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Account/describe/approvalLayouts'), ('listviews', '/services/data/v57.0/sobjects/Account/listviews'), ('describe', '/services/data/v57.0/sobjects/Account/describe'), ('quickActions', '/services/data/v57.0/sobjects/Account/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Account/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Account')])"
10,False,ChangeEvent,Account,False,False,False,False,False,False,False,False,False,False,,Account Change Event,Account Change Event,False,False,False,AccountChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AccountChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AccountChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountChangeEvent')])"
11,False,,,False,False,False,False,False,False,False,False,False,False,1CA,Account Clean Info,Account Clean Info,False,False,False,AccountCleanInfo,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountCleanInfo/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountCleanInfo/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountCleanInfo')])"
12,False,,,True,False,False,False,True,False,False,False,False,False,02Z,Account Contact Role,Account Contact Roles,False,False,False,AccountContactRole,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountContactRole/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountContactRole/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountContactRole')])"
13,False,ChangeEvent,AccountContactRole,False,False,False,False,False,False,False,False,False,False,,Account Contact Role Change Event,Account Contact Role Change Event,False,False,False,AccountContactRoleChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountContactRoleChangeEvent')])"
14,False,Feed,Account,False,False,False,False,True,False,False,False,False,False,,Account Feed,Account Feed,False,False,False,AccountFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/AccountFeed/{ID}'), ('describe', '/services/data/v57.0/sobjects/AccountFeed/describe'), ('sobject', '/services/data/v57.0/sobjects/AccountFeed')])"
